"Taxon","-14","-7","0","1","2","7","13"
"Unassigned;Other;Other;Other",0.00284024991738713,0.002479426957617,0.00020247890352095,0.00140238830030676,0.000292589454391186,6.58012423843688e-05,0.000295413438049007
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",0.0232460930738578,0.0401909908234983,0.00994677613545044,0.0445780451202731,0.0244445189623181,0.00430745055914375,0.0126069680724029
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales",0.00101437497049678,0.00116168955356852,0.00240443697931058,0.0015814165939608,0.0015427443958808,0.000652950789813877,0.000439128083585443
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales",0.241522680474961,0.263616835409624,0.428597219027185,0.315373258299136,0.442554849288002,0.177759525483856,0.190254238250474
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales",0.00503806235346565,0.0298918326918217,0.0128067906476959,0.000164109269184069,0.000638376991400082,0.00949056380540355,0.00617174561112501
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales",0.0851736850224345,0.0838843889575651,0.140419119590996,0.116413147949532,0.12036066192001,0.00398350598124854,0.0464357988023839
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales",0.0147084370722098,0.0183616304064075,0.0175650448803902,0.0362681484897691,0.0421594804737522,0.0115455872214243,0.00731347862844076
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales",0.162232370281127,0.199047702611847,0.500882187584463,0.169077304333098,0.476654820245682,0.101845138308809,0.129886102977928
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales",0.107185621882464,0.154972854175854,0.0133382977694306,0.0303005387012052,0.0173425749330048,0.00683320593989565,0.00493420283011004
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales",0.000760781227869365,0.001040319003197,0.00268284547164835,0.000805627321450373,0.00505381784858634,0.000997141903821974,0.00118963789916936
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales",0.000929843722954312,0.0027048294083138,0.00129080300994818,0.00220801562175713,0.000957565487099557,0.000708628764138622,0.000510985406355862
